date,grand_prix_name,team_name,points,current_team_name,scorigami
1952-09-07,Italian Grand Prix,Ferrari,15.5,Ferrari,1
1953-07-18,British Grand Prix,Ferrari,14.5,Ferrari,1
1954-07-17,British Grand Prix,Ferrari,16.28,Ferrari,1
1975-04-27,Spanish Grand Prix,McLaren,4.5,McLaren,1
1975-08-17,Austrian Grand Prix,Ferrari,0.5,Ferrari,1
1975-08-17,Austrian Grand Prix,McLaren,1.5,McLaren,1
1984-06-03,Monaco Grand Prix,Ferrari,2.5,Ferrari,1
1984-06-03,Monaco Grand Prix,Williams,1.5,Williams,1
1991-11-03,Australian Grand Prix,Benetton,1.5,Alpine F1 Team,1
2009-04-05,Malaysian Grand Prix,Red Bull,1.5,Red Bull,1
2009-04-05,Malaysian Grand Prix,Williams,0.5,Williams,1
2021-08-29,Belgian Grand Prix,Mercedes,7.5,Mercedes,1
2021-08-29,Belgian Grand Prix,Red Bull,12.5,Red Bull,1
