date,grand_prix_name,team_name,points,current_team_name,scorigami
1950-05-21,Monaco Grand Prix,Ferrari,9.0,Ferrari,1
1950-06-04,Swiss Grand Prix,Ferrari,0.0,Ferrari,1
1950-06-18,Belgian Grand Prix,Ferrari,2.0,Ferrari,1
1950-07-02,French Grand Prix,Ferrari,4.0,Ferrari,1
1950-09-03,Italian Grand Prix,Ferrari,6.0,Ferrari,1
1951-06-17,Belgian Grand Prix,Ferrari,10.0,Ferrari,1
1951-07-01,French Grand Prix,Ferrari,13.0,Ferrari,1
1951-07-14,British Grand Prix,Ferrari,12.0,Ferrari,1
1951-07-29,German Grand Prix,Ferrari,17.0,Ferrari,1
1951-09-16,Italian Grand Prix,Ferrari,19.0,Ferrari,1
1952-05-18,Swiss Grand Prix,Ferrari,15.0,Ferrari,1
1952-08-03,German Grand Prix,Ferrari,22.0,Ferrari,1
1952-09-07,Italian Grand Prix,Ferrari,15.5,Ferrari,1
1953-01-18,Argentine Grand Prix,Ferrari,18.0,Ferrari,1
1953-06-21,Belgian Grand Prix,Ferrari,14.0,Ferrari,1
1953-07-18,British Grand Prix,Ferrari,14.5,Ferrari,1
1954-07-17,British Grand Prix,Ferrari,16.28,Ferrari,1
1954-10-24,Spanish Grand Prix,Ferrari,8.0,Ferrari,1
1955-05-22,Monaco Grand Prix,Ferrari,11.0,Ferrari,1
1955-06-05,Belgian Grand Prix,Ferrari,7.0,Ferrari,1
1958-08-03,German Grand Prix,Ferrari,3.0,Ferrari,1
1960-05-29,Monaco Grand Prix,Ferrari,5.0,Ferrari,1
1960-07-16,British Grand Prix,Ferrari,1.0,Ferrari,1
1960-09-04,Italian Grand Prix,Ferrari,20.0,Ferrari,1
1975-04-27,Spanish Grand Prix,McLaren,4.5,McLaren,1
1975-08-17,Austrian Grand Prix,Ferrari,0.5,Ferrari,1
1975-08-17,Austrian Grand Prix,McLaren,1.5,McLaren,1
1984-06-03,Monaco Grand Prix,Ferrari,2.5,Ferrari,1
1991-04-28,San Marino Grand Prix,McLaren,16.0,McLaren,1
2010-03-14,Bahrain Grand Prix,Ferrari,43.0,Ferrari,1
2010-03-14,Bahrain Grand Prix,McLaren,21.0,McLaren,1
2010-03-28,Australian Grand Prix,Ferrari,27.0,Ferrari,1
2010-03-28,Australian Grand Prix,McLaren,33.0,McLaren,1
2010-05-09,Spanish Grand Prix,Ferrari,26.0,Ferrari,1
2010-05-09,Spanish Grand Prix,Red Bull,40.0,Red Bull,1
2010-06-27,European Grand Prix,Red Bull,25.0,Red Bull,1
2010-07-11,British Grand Prix,McLaren,30.0,McLaren,1
2010-07-11,British Grand Prix,Red Bull,31.0,Red Bull,1
2010-07-25,German Grand Prix,Red Bull,23.0,Red Bull,1
2010-09-26,Singapore Grand Prix,Ferrari,29.0,Ferrari,1
2011-03-27,Australian Grand Prix,Red Bull,35.0,Red Bull,1
2011-04-10,Malaysian Grand Prix,Red Bull,37.0,Red Bull,1
2011-06-26,European Grand Prix,Ferrari,28.0,Ferrari,1
2011-10-09,Japanese Grand Prix,Ferrari,24.0,Ferrari,1
2014-11-23,Abu Dhabi Grand Prix,Mercedes,50.0,Mercedes,1
2014-11-23,Abu Dhabi Grand Prix,Red Bull,32.0,Red Bull,1
2014-11-23,Abu Dhabi Grand Prix,Williams,66.0,Williams,1
2019-03-17,Australian Grand Prix,Mercedes,44.0,Mercedes,1
2019-06-09,Canadian Grand Prix,Mercedes,38.0,Mercedes,1
2019-09-08,Italian Grand Prix,Mercedes,34.0,Mercedes,1
2019-10-13,Japanese Grand Prix,Mercedes,41.0,Mercedes,1
2021-08-29,Belgian Grand Prix,Mercedes,7.5,Mercedes,1
2021-08-29,Belgian Grand Prix,Red Bull,12.5,Red Bull,1
2021-09-12,Italian Grand Prix,McLaren,45.0,McLaren,1
2021-10-10,Turkish Grand Prix,Mercedes,36.0,Mercedes,1
2022-04-24,Emilia Romagna Grand Prix,Red Bull,58.0,Red Bull,1
2023-04-30,Azerbaijan Grand Prix,Red Bull,57.0,Red Bull,1
2023-07-02,Austrian Grand Prix,Red Bull,56.0,Red Bull,1
2023-07-30,Belgian Grand Prix,Red Bull,51.0,Red Bull,1
2023-10-08,Qatar Grand Prix,McLaren,47.0,McLaren,1
2023-10-22,United States Grand Prix,Red Bull,49.0,Red Bull,1
2024-04-21,Chinese Grand Prix,Red Bull,54.0,Red Bull,1
2024-10-20,United States Grand Prix,Ferrari,55.0,Ferrari,1
