date,grand_prix_name,team_name,points,current_team_name,scorigami
1950-05-21,Monaco Grand Prix,Ferrari,9.0,Ferrari,1
1950-06-04,Swiss Grand Prix,Ferrari,0.0,Ferrari,1
1950-06-18,Belgian Grand Prix,Ferrari,2.0,Ferrari,1
1950-07-02,French Grand Prix,Ferrari,4.0,Ferrari,1
1950-09-03,Italian Grand Prix,Ferrari,6.0,Ferrari,1
1951-06-17,Belgian Grand Prix,Ferrari,10.0,Ferrari,1
1951-07-01,French Grand Prix,Ferrari,13.0,Ferrari,1
1951-07-14,British Grand Prix,Ferrari,12.0,Ferrari,1
1951-07-29,German Grand Prix,Ferrari,17.0,Ferrari,1
1951-09-16,Italian Grand Prix,Ferrari,19.0,Ferrari,1
1952-05-18,Swiss Grand Prix,Ferrari,15.0,Ferrari,1
1952-08-03,German Grand Prix,Ferrari,22.0,Ferrari,1
1952-09-07,Italian Grand Prix,Ferrari,15.5,Ferrari,1
1953-01-18,Argentine Grand Prix,Ferrari,18.0,Ferrari,1
1953-06-21,Belgian Grand Prix,Ferrari,14.0,Ferrari,1
1953-07-18,British Grand Prix,Ferrari,14.5,Ferrari,1
1954-07-17,British Grand Prix,Ferrari,16.28,Ferrari,1
1954-10-24,Spanish Grand Prix,Ferrari,8.0,Ferrari,1
1955-05-22,Monaco Grand Prix,Ferrari,11.0,Ferrari,1
1955-06-05,Belgian Grand Prix,Ferrari,7.0,Ferrari,1
1958-08-03,German Grand Prix,Ferrari,3.0,Ferrari,1
1960-05-29,Monaco Grand Prix,Ferrari,5.0,Ferrari,1
1960-07-16,British Grand Prix,Ferrari,1.0,Ferrari,1
1960-09-04,Italian Grand Prix,Ferrari,20.0,Ferrari,1
1968-08-04,German Grand Prix,McLaren,0.0,McLaren,1
1970-09-20,Canadian Grand Prix,Tyrrell,0.0,Mercedes,1
1971-03-06,South African Grand Prix,McLaren,1.0,McLaren,1
1971-03-06,South African Grand Prix,Tyrrell,6.0,Mercedes,1
1971-04-18,Spanish Grand Prix,McLaren,2.0,McLaren,1
1971-04-18,Spanish Grand Prix,Tyrrell,9.0,Mercedes,1
1971-05-23,Monaco Grand Prix,McLaren,3.0,McLaren,1
1971-07-04,French Grand Prix,Tyrrell,15.0,Mercedes,1
1971-09-05,Italian Grand Prix,Tyrrell,4.0,Mercedes,1
1971-09-19,Canadian Grand Prix,McLaren,7.0,McLaren,1
1971-09-19,Canadian Grand Prix,Tyrrell,10.0,Mercedes,1
1971-10-03,United States Grand Prix,Tyrrell,11.0,Mercedes,1
1972-01-23,Argentine Grand Prix,McLaren,6.0,McLaren,1
1972-03-04,South African Grand Prix,McLaren,13.0,McLaren,1
1972-05-14,Monaco Grand Prix,Tyrrell,3.0,Mercedes,1
1972-06-04,Belgian Grand Prix,McLaren,4.0,McLaren,1
1972-07-02,French Grand Prix,Tyrrell,12.0,Mercedes,1
1972-08-13,Austrian Grand Prix,McLaren,10.0,McLaren,1
1973-03-03,South African Grand Prix,McLaren,8.0,McLaren,1
1973-06-17,Swedish Grand Prix,McLaren,9.0,McLaren,1
1973-07-14,British Grand Prix,Tyrrell,2.0,Mercedes,1
1973-09-09,Italian Grand Prix,Tyrrell,5.0,Mercedes,1
1973-10-07,United States Grand Prix,McLaren,5.0,McLaren,1
1974-01-13,Argentine Grand Prix,McLaren,12.0,McLaren,1
1974-01-13,Argentine Grand Prix,Tyrrell,1.0,Mercedes,1
1974-01-27,Brazilian Grand Prix,McLaren,11.0,McLaren,1
1975-01-12,Argentine Grand Prix,Williams,0.0,Williams,1
1975-03-01,South African Grand Prix,Tyrrell,13.0,Mercedes,1
1975-04-27,Spanish Grand Prix,McLaren,4.5,McLaren,1
1975-08-03,German Grand Prix,Williams,6.0,Williams,1
1975-08-17,Austrian Grand Prix,Ferrari,0.5,Ferrari,1
1975-08-17,Austrian Grand Prix,McLaren,1.5,McLaren,1
1976-01-25,Brazilian Grand Prix,Tyrrell,8.0,Mercedes,1
1976-07-04,French Grand Prix,Tyrrell,7.0,Mercedes,1
1978-03-04,South African Grand Prix,Williams,3.0,Williams,1
1978-07-02,French Grand Prix,Williams,2.0,Williams,1
1979-04-08,United States Grand Prix West,Williams,4.0,Williams,1
1979-07-14,British Grand Prix,Williams,9.0,Williams,1
1979-07-29,German Grand Prix,Williams,15.0,Williams,1
1979-08-12,Austrian Grand Prix,Williams,11.0,Williams,1
